Time,can_torque.Tau1,can_torque.Tau2,can_state.Omega1,can_state.Omega2,can_state.Theta1,can_state.Theta2,I1,I2,b1,b2,g,l1,l2,lc1,lc2,m1,m2,n_substeps,omega1_0,omega2_0,reset,theta1_0,theta2_0
0.22000000000000006,0.0,0.0,-2.614351141977761,1.8699125899024986,0.6790300530790445,0.7470582580367456,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.23000000000000007,0.0,0.0,-2.663480543684113,1.8273063336403792,0.652630595798287,0.7655657196860431,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.24000000000000007,0.0,0.0,-2.7004334913688566,1.7593405653200054,0.6258010846057709,0.7835197386096846,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.25000000000000006,0.0,0.0,-2.725863838920622,1.6671925295095884,0.5986603760073261,0.8006718333172179,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.26000000000000006,0.0,0.0,-2.7407936449649823,1.552841916998502,0.571318834332429,0.8167895227436518,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.2700000000000001,0.0,0.0,-2.746467308388217,1.4187888624990772,0.5438753649603724,0.8316629716119887,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.2800000000000001,0.0,0.0,-2.7442047398408818,1.267766445673164,0.5164159365230117,0.8451087375185751,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.2900000000000001,0.0,0.0,-2.7352786782240583,1.1024978920035835,0.4890134664821023,0.8569708346968936,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.3000000000000001,0.0,0.0,-2.7208285143485913,0.9255236326607806,0.46172875597589763,0.8671197086485052,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.3100000000000001,0.0,0.0,-2.7018114637054262,0.7391005773045253,0.4346120966387345,0.8754498479315783,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.3200000000000001,0.0,0.0,-2.6789847326265077,0.5451615791563749,0.40770520369670693,0.8818767031574762,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.3300000000000001,0.0,0.0,-2.6529096123728584,0.3453175300891584,0.3810432100279559,0.8863334288546212,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.34000000000000014,0.0,0.0,-2.6239688243456127,0.14088512038625586,0.35465654645672945,0.8887677874997332,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.35000000000000014,0.0,0.0,-2.5923903091727336,-0.0670731378808537,0.32857261162673607,0.8891394018490457,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.36000000000000015,0.0,0.0,-2.5582728310515823,-0.27770580270363865,0.3028171919030057,0.887417428913611,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.37000000000000016,0.0,0.0,-2.5216106439183483,-0.49033182287220406,0.277415628277658,0.8835786561871434,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.38000000000000017,0.0,0.0,-2.48231583717563,-0.7044050983512808,0.25239374750147275,0.8776059799423764,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.3900000000000002,0.0,0.0,-2.440237868694239,-0.9194853147468918,0.22777858367460666,0.869487206883377,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
